SRA_ID	Name	BioProject	SNPversity ID
ERR10289330	N216	PRJEB56320	N216_ERR10289330
ERR10289331	ND230	PRJEB56320	ND230_ERR10289331
ERR10289332	NC13	PRJEB56320	NC13_ERR10289332
ERR10289333	N538	PRJEB56320	N538_ERR10289333
ERR10289334	N545	PRJEB56320	N545_ERR10289334
ERR10289335	N534	PRJEB56320	N534_ERR10289335
ERR10289336	MS223	PRJEB56320	MS223_ERR10289336
ERR10289337	N540	PRJEB56320	N540_ERR10289337
ERR10289338	MS106	PRJEB56320	MS106_ERR10289338
ERR10289339	MS222	PRJEB56320	MS222_ERR10289339
ERR10289341	MO7	PRJEB56320	MO7_ERR10289341
ERR10289342	N199	PRJEB56320	N199_ERR10289342
ERR10289343	MS12	PRJEB56320	MS12_ERR10289343
ERR10289344	MO3	PRJEB56320	MO3_ERR10289344
ERR10289345	MO39	PRJEB56320	MO39_ERR10289345
ERR10289346	MS142	PRJEB56320	MS142_ERR10289346
ERR10289347	MO28W	PRJEB56320	MO28W_ERR10289347
ERR10289348	MO16W	PRJEB56320	MO16W_ERR10289348
ERR10289349	MO30W	PRJEB56320	MO30W_ERR10289349
ERR10289350	MO5	PRJEB56320	MO5_ERR10289350
ERR10289351	MO23W	PRJEB56320	MO23W_ERR10289351
ERR10289352	MO15W	PRJEB56320	MO15W_ERR10289352
ERR10289354	MO13	PRJEB56320	MO13_ERR10289354
ERR10289355	LP1NRHT	PRJEB56320	LP1NRHT_ERR10289355
ERR10289356	LH284	PRJEB56320	LH284_ERR10289356
ERR10289357	LH225	PRJEB56320	LH225_ERR10289357
ERR10289358	LH212HT	PRJEB56320	LH212HT_ERR10289358
ERR10289359	LH218	PRJEB56320	LH218_ERR10289359
ERR10289360	LH299	PRJEB56320	LH299_ERR10289360
ERR10289361	LH217	PRJEB56320	LH217_ERR10289361
ERR10289362	LH250	PRJEB56320	LH250_ERR10289362
ERR10289363	LH252	PRJEB56320	LH252_ERR10289363
ERR10289364	LH210	PRJEB56320	LH210_ERR10289364
ERR10289365	LH260	PRJEB56320	LH260_ERR10289365
ERR10289366	LH231	PRJEB56320	LH231_ERR10289366
ERR10289367	LH175	PRJEB56320	LH175_ERR10289367
ERR10289368	LH189HT	PRJEB56320	LH189HT_ERR10289368
ERR10289975	LH183	PRJEB56320	LH183_ERR10289975
ERR10289976	LH163	PRJEB56320	LH163_ERR10289976
ERR10289977	LH188	PRJEB56320	LH188_ERR10289977
ERR10289978	LH169HT	PRJEB56320	LH169HT_ERR10289978
ERR10290059	LH167	PRJEB56320	LH167_ERR10290059
ERR10290060	LH159	PRJEB56320	LH159_ERR10290060
ERR10290061	LH186	PRJEB56320	LH186_ERR10290061
ERR10290062	L222	PRJEB56320	L222_ERR10290062
ERR10290063	L155	PRJEB56320	L155_ERR10290063
ERR10290064	KO679Y	PRJEB56320	KO679Y_ERR10290064
ERR10290065	L289	PRJEB56320	L289_ERR10290065
ERR10290066	K155	PRJEB56320	K155_ERR10290066
ERR10290067	K201	PRJEB56320	K201_ERR10290067
ERR10290068	INBRED305	PRJEB56320	INBRED305_ERR10290068
ERR10290069	LH164	PRJEB56320	LH164_ERR10290069
ERR10290070	INBRED309	PRJEB56320	INBRED309_ERR10290070
ERR10290071	INBRED_321	PRJEB56320	INBRED_321_ERR10290071
ERR10290072	IL778D	PRJEB56320	IL778D_ERR10290072
ERR10290073	INBRED141	PRJEB56320	INBRED141_ERR10290073
ERR10290074	ICI986	PRJEB56320	ICI986_ERR10290074
ERR10290075	INBRED_109	PRJEB56320	INBRED_109_ERR10290075
ERR10290076	I159	PRJEB56320	I159_ERR10290076
ERR10290077	INBRED2-687	PRJEB56320	INBRED2-687_ERR10290077
ERR10290078	IL101T	PRJEB56320	IL101T_ERR10290078
ERR10290079	INBRED_100	PRJEB56320	INBRED_100_ERR10290079
ERR10290080	H124W	PRJEB56320	H124W_ERR10290080
ERR10290081	H52	PRJEB56320	H52_ERR10290081
ERR10290082	H122W	PRJEB56320	H122W_ERR10290082
ERR10290083	HI26	PRJEB56320	HI26_ERR10290083
ERR10290084	ICI740	PRJEB56320	ICI740_ERR10290084
ERR10290085	G22T122	PRJEB56320	G22T122_ERR10290085
ERR10290086	HI28	PRJEB56320	HI28_ERR10290086
ERR10290087	FE	PRJEB56320	FE_ERR10290087
ERR10290088	H14	PRJEB56320	H14_ERR10290088
ERR10290089	ICI893	PRJEB56320	ICI893_ERR10290089
ERR10290090	ICI441	PRJEB56320	ICI441_ERR10290090
ERR10290091	DK84BRQ4	PRJEB56320	DK84BRQ4_ERR10290091
ERR10290092	DK6F545	PRJEB56320	DK6F545_ERR10290092
ERR10290093	DK8F196	PRJEB56320	DK8F196_ERR10290093
ERR10290094	GE54	PRJEB56320	GE54_ERR10290094
ERR10290095	F44	PRJEB56320	F44_ERR10290095
ERR10290096	CO236	PRJEB56320	CO236_ERR10290096
ERR10290097	G3T5A	PRJEB56320	G3T5A_ERR10290097
ERR10290098	GE129	PRJEB56320	GE129_ERR10290098
ERR10290099	ENG-LICHIH	PRJEB56320	ENG-LICHIH_ERR10290099
ERR10290100	DKMFD-13D	PRJEB56320	DKMFD-13D_ERR10290100
ERR10290101	F115	PRJEB56320	F115_ERR10290101
ERR10290102	DKNL001	PRJEB56320	DKNL001_ERR10290102
ERR10290103	DK8M129	PRJEB56320	DK8M129_ERR10290103
ERR10290104	ICI193	PRJEB56320	ICI193_ERR10290104
ERR10290105	DKMBZA	PRJEB56320	DKMBZA_ERR10290105
ERR10290106	DKF274	PRJEB56320	DKF274_ERR10290106
ERR10290107	IA453	PRJEB56320	IA453_ERR10290107
ERR10290108	DKWDAD1	PRJEB56320	DKWDAD1_ERR10290108
ERR10290109	DK8M116	PRJEB56320	DK8M116_ERR10290109
ERR10290110	IA5125B	PRJEB56320	IA5125B_ERR10290110
ERR10290111	DK3IIH6	PRJEB56320	DK3IIH6_ERR10290111
ERR10290112	CSJ3	PRJEB56320	CSJ3_ERR10290112
ERR10290113	CL17	PRJEB56320	CL17_ERR10290113
ERR10290114	CQ806	PRJEB56320	CQ806_ERR10290114
ERR10290115	CI91B	PRJEB56320	CI91B_ERR10290115
ERR10290116	CO256	PRJEB56320	CO256_ERR10290116
ERR10290117	CI90C	PRJEB56320	CI90C_ERR10290117
ERR10290118	CS608	PRJEB56320	CS608_ERR10290118
ERR10290119	CO245	PRJEB56320	CO245_ERR10290119
ERR10290120	CO192	PRJEB56320	CO192_ERR10290120
ERR10290121	CO237	PRJEB56320	CO237_ERR10290121
ERR10290122	CO216	PRJEB56320	CO216_ERR10290122
ERR10290123	BEI10-NORTH10	PRJEB56320	BEI10-NORTH10_ERR10290123
ERR10290747	CM99	PRJEB56320	CM99_ERR10290747
ERR10290748	B99	PRJEB56320	B99_ERR10290748
ERR10290749	CML395	PRJEB56320	CML395_ERR10290749
ERR10290750	CO158	PRJEB56320	CO158_ERR10290750
ERR10290751	CL27	PRJEB56320	CL27_ERR10290751
ERR10290752	B42	PRJEB56320	B42_ERR10290752
ERR10290753	B54	PRJEB56320	B54_ERR10290753
ERR10290754	CM48	PRJEB56320	CM48_ERR10290754
ERR10290755	CO117	PRJEB56320	CO117_ERR10290755
ERR10290756	CI540	PRJEB56320	CI540_ERR10290756
ERR10290757	C42	PRJEB56320	C42_ERR10290757
ERR10290758	CG10	PRJEB56320	CG10_ERR10290758
ERR10290759	C68	PRJEB56320	C68_ERR10290759
ERR10290760	A96	PRJEB56320	A96_ERR10290760
ERR10290761	CHI-TAN120	PRJEB56320	CHI-TAN120_ERR10290761
ERR10290762	A651	PRJEB56320	A651_ERR10290762
ERR10290763	C102	PRJEB56320	C102_ERR10290763
ERR10290764	C15	PRJEB56320	C15_ERR10290764
ERR10290765	CI40H	PRJEB56320	CI40H_ERR10290765
ERR10290766	B91	PRJEB56320	B91_ERR10290766
ERR10290767	B90	PRJEB56320	B90_ERR10290767
ERR10290769	A171	PRJEB56320	A171_ERR10290769
ERR10290773	B101	PRJEB56320	B101_ERR10290773
ERR10290776	A155	PRJEB56320	A155_ERR10290776
ERR10290778	B-18_INBR_FR_SU	PRJEB56320	B-18_INBR_FR_SU_ERR10290778
ERR10290780	AM0776	PRJEB56320	AM0776_ERR10290780
ERR10290781	B106	PRJEB56320	B106_ERR10290781
ERR10290786	A15	PRJEB56320	A15_ERR10290786
ERR10290789	A673	PRJEB56320	A673_ERR10290789
ERR10290790	A12	PRJEB56320	A12_ERR10290790
ERR10290791	A662	PRJEB56320	A662_ERR10290791
ERR10290794	AR228	PRJEB56320	AR228_ERR10290794
ERR10290797	AH83	PRJEB56320	AH83_ERR10290797
ERR10290799	A508	PRJEB56320	A508_ERR10290799
ERR10290801	A3G-3-3-1-313	PRJEB56320	A3G-3-3-1-313_ERR10290801
ERR10290802	A415-1-3-INBRED	PRJEB56320	A415-1-3-INBRED_ERR10290802
ERR10290803	A344	PRJEB56320	A344_ERR10290803
ERR10290806	4F-234BX4	PRJEB56320	4F-234BX4_ERR10290806
ERR10290809	80-2	PRJEB56320	80-2_ERR10290809
ERR10290812	4F-306_108	PRJEB56320	4F-306_108_ERR10290812
ERR10290814	904	PRJEB56320	904_ERR10290814
ERR10290815	4554_INBRED	PRJEB56320	4554_INBRED_ERR10290815
ERR10290816	52220	PRJEB56320	52220_ERR10290816
ERR10290818	4578INBRED	PRJEB56320	4578INBRED_ERR10290818
ERR11202955	Par_N16	PRJEB61159	Par_N16_ERR11202955
ERR1462650	A374_inra	PRJEB14212	A374_inra_ERR1462650
ERR1462651	AR210_inra	PRJEB14212	AR210_inra_ERR1462651
ERR1462652	Ak3_inra	PRJEB14212	Ak3_inra_ERR1462652
ERR1462653	CH10-4_ethz	PRJEB14212	CH10-4_ethz_ERR1462653
ERR1462654	CH19-1_ethz	PRJEB14212	CH19-1_ethz_ERR1462654
ERR1462655	CH34_ethz	PRJEB14212	CH34_ethz_ERR1462655
ERR1462656	CH36_ethz	PRJEB14212	CH36_ethz_ERR1462656
ERR1462657	CH446A_ethz	PRJEB14212	CH446A_ethz_ERR1462657
ERR1462658	CO109_inra	PRJEB14212	CO109_inra_ERR1462658
ERR1462659	CQ502_inra	PRJEB14212	CQ502_inra_ERR1462659
ERR1462660	EP4_csic	PRJEB14212	EP4_csic_ERR1462660
ERR1462661	EP80_csic	PRJEB14212	EP80_csic_ERR1462661
ERR1462662	EV18_csic	PRJEB14212	EV18_csic_ERR1462662
ERR1462663	EZ4_csic	PRJEB14212	EZ4_csic_ERR1462663
ERR1462664	F48_inra	PRJEB14212	F48_inra_ERR1462664
ERR1462666	F759_inra	PRJEB14212	F759_inra_ERR1462666
ERR1462667	GA219_inra	PRJEB14212	GA219_inra_ERR1462667
ERR1462668	FV1_inra	PRJEB14212	FV1_inra_ERR1462668
ERR1462669	FV70_inra	PRJEB14212	FV70_inra_ERR1462669
ERR1462670	FV72_inra	PRJEB14212	FV72_inra_ERR1462670
ERR1462671	FV76_inra	PRJEB14212	FV76_inra_ERR1462671
ERR1462672	F39_inra	PRJEB14212	F39_inra_ERR1462672
ERR1462673	FC16_inra	PRJEB14212	FC16_inra_ERR1462673
ERR1462674	FC24_inra	PRJEB14212	FC24_inra_ERR1462674
ERR1462675	FC673_inra	PRJEB14212	FC673_inra_ERR1462675
ERR1462676	FC25_inra	PRJEB14212	FC25_inra_ERR1462676
ERR1462677	Mo15W_inra	PRJEB14212	Mo15W_inra_ERR1462677
ERR1462678	N22_inra	PRJEB14212	N22_inra_ERR1462678
ERR1462679	N6_inra	PRJEB14212	N6_inra_ERR1462679
ERR1462680	NC222_inra	PRJEB14212	NC222_inra_ERR1462680
ERR1462682	ND1_inra	PRJEB14212	ND1_inra_ERR1462682
ERR1462683	ND283_inra	PRJEB14212	ND283_inra_ERR1462683
ERR1462684	ND30_inra	PRJEB14212	ND30_inra_ERR1462684
ERR1462686	NY303_inra	PRJEB14212	NY303_inra_ERR1462686
ERR1462687	NYS302_inra	PRJEB14212	NYS302_inra_ERR1462687
ERR1462688	PB18_inra	PRJEB14212	PB18_inra_ERR1462688
ERR1462690	PB79-2_inra	PRJEB14212	PB79-2_inra_ERR1462690
ERR1462691	PB86_inra	PRJEB14212	PB86_inra_ERR1462691
ERR1462692	PLS14_inra	PRJEB14212	PLS14_inra_ERR1462692
ERR1462693	PP147_inra	PRJEB14212	PP147_inra_ERR1462693
ERR1462694	RT9_inra	PRJEB14212	RT9_inra_ERR1462694
ERR1462695	UH_FF0721H_uh	PRJEB14212	UH_FF0721H_uh_ERR1462695
ERR1462696	Wf9_inra	PRJEB14212	Wf9_inra_ERR1462696
ERR1462697	WJ_inra	PRJEB14212	WJ_inra_ERR1462697
ERR1462698	ARZM01097_CIMMYT	PRJEB14212	ARZM01097_CIMMYT_ERR1462698
ERR1462699	ARZM07086_CIMMYT	PRJEB14212	ARZM07086_CIMMYT_ERR1462699
ERR1462700	MR25_JDHMV2	PRJEB14212	MR25_JDHMV2_ERR1462700
ERR1462701	MR05_JDHMV2	PRJEB14212	MR05_JDHMV2_ERR1462701
ERR1462702	MR07_JDHMV2	PRJEB14212	MR07_JDHMV2_ERR1462702
ERR1462703	MR18_JDHMV2	PRJEB14212	MR18_JDHMV2_ERR1462703
ERR1462704	MR09_JDHMV2	PRJEB14212	MR09_JDHMV2_ERR1462704
ERR1462705	SNLP305_CIMMYT	PRJEB14212	SNLP305_CIMMYT_ERR1462705
ERR1462706	PDZ37_SSD23	PRJEB14212	PDZ37_SSD23_ERR1462706
ERR1462707	PDZ676-103	PRJEB14212	PDZ676-103_ERR1462707
ERR1462708	PDZ666-102	PRJEB14212	PDZ666-102_ERR1462708
ERR1462709	EM1197_inra	PRJEB14212	EM1197_inra_ERR1462709
ERR1462710	EM1433_inra	PRJEB14212	EM1433_inra_ERR1462710
ERR1462711	EM1712_inra	PRJEB14212	EM1712_inra_ERR1462711
ERR1462712	EM2000_inra	PRJEB14212	EM2000_inra_ERR1462712
ERR1462713	PDZ668-101	PRJEB14212	PDZ668-101_ERR1462713
ERR1462714	PDZ689-201	PRJEB14212	PDZ689-201_ERR1462714
ERR1462715	PDZ741-101	PRJEB14212	PDZ741-101_ERR1462715
ERR1462716	PDZ737-101	PRJEB14212	PDZ737-101_ERR1462716
ERR1462717	MR23_JDHMV2	PRJEB14212	MR23_JDHMV2_ERR1462717
ERR1462718	PDZ682-101	PRJEB14212	PDZ682-101_ERR1462718
ERR1462719	MR08_JDHMV2	PRJEB14212	MR08_JDHMV2_ERR1462719
ERR1462720	MR01_JDHMV2	PRJEB14212	MR01_JDHMV2_ERR1462720
ERR3155224	Tzi8	PRJEB31061	Tzi8_ERR3155224
ERR3155516	Tzi8	PRJEB31061	Tzi8_ERR3155516
ERR3155517	Tzi8	PRJEB31061	Tzi8_ERR3155517
ERR3155518	Tzi8	PRJEB31061	Tzi8_ERR3155518
ERR3288215	B73_v5rep1	PRJEB32225	B73_v5rep1_ERR3288215
ERR3288216	B73_v5rep2	PRJEB32225	B73_v5rep2_ERR3288216
ERR3288217	B73_v5rep3	PRJEB32225	B73_v5rep3_ERR3288217
ERR3288218	B73_v5rep4	PRJEB32225	B73_v5rep4_ERR3288218
ERR3307809	B97rep1	PRJEB31061	B97rep1_ERR3307809
ERR3307810	B97rep2	PRJEB31061	B97rep2_ERR3307810
ERR3307811	B97rep3	PRJEB31061	B97rep3_ERR3307811
ERR3307812	B97rep4	PRJEB31061	B97rep4_ERR3307812
ERR3307829	CML69	PRJEB31061	CML69_ERR3307829
ERR3307830	CML69	PRJEB31061	CML69_ERR3307830
ERR3307831	CML69	PRJEB31061	CML69_ERR3307831
ERR3307832	CML69	PRJEB31061	CML69_ERR3307832
ERR3307833	CML103	PRJEB31061	CML103_ERR3307833
ERR3307834	CML103	PRJEB31061	CML103_ERR3307834
ERR3307835	CML103	PRJEB31061	CML103_ERR3307835
ERR3307836	CML103	PRJEB31061	CML103_ERR3307836
ERR3307837	CML228	PRJEB31061	CML228_ERR3307837
ERR3307838	CML228	PRJEB31061	CML228_ERR3307838
ERR3307839	CML228	PRJEB31061	CML228_ERR3307839
ERR3307840	CML228	PRJEB31061	CML228_ERR3307840
ERR3307841	CML247	PRJEB31061	CML247_ERR3307841
ERR3307842	CML247	PRJEB31061	CML247_ERR3307842
ERR3307843	CML247	PRJEB31061	CML247_ERR3307843
ERR3307844	CML247	PRJEB31061	CML247_ERR3307844
ERR3307845	CML277	PRJEB31061	CML277_ERR3307845
ERR3307846	CML277	PRJEB31061	CML277_ERR3307846
ERR3307847	CML277	PRJEB31061	CML277_ERR3307847
ERR3307848	CML277	PRJEB31061	CML277_ERR3307848
ERR3307849	CML322	PRJEB31061	CML322_ERR3307849
ERR3307850	CML322	PRJEB31061	CML322_ERR3307850
ERR3307851	CML322	PRJEB31061	CML322_ERR3307851
ERR3307852	CML322	PRJEB31061	CML322_ERR3307852
ERR3307853	CML333	PRJEB31061	CML333_ERR3307853
ERR3307854	CML333	PRJEB31061	CML333_ERR3307854
ERR3307855	CML333	PRJEB31061	CML333_ERR3307855
ERR3307856	CML333	PRJEB31061	CML333_ERR3307856
ERR3307857	Hp301	PRJEB31061	Hp301_ERR3307857
ERR3307866	Il14H	PRJEB31061	Il14H_ERR3307866
ERR3307867	Il14H	PRJEB31061	Il14H_ERR3307867
ERR3307868	Il14H	PRJEB31061	Il14H_ERR3307868
ERR3307869	Il14H	PRJEB31061	Il14H_ERR3307869
ERR3307874	Ki3	PRJEB31061	Ki3_ERR3307874
ERR3307875	Ki3	PRJEB31061	Ki3_ERR3307875
ERR3307876	Ki3	PRJEB31061	Ki3_ERR3307876
ERR3307877	Ki3	PRJEB31061	Ki3_ERR3307877
ERR3307878	Ki11	PRJEB31061	Ki11_ERR3307878
ERR3307879	Ky21	PRJEB31061	Ky21_ERR3307879
ERR3307880	Ky21	PRJEB31061	Ky21_ERR3307880
ERR3307881	Ky21	PRJEB31061	Ky21_ERR3307881
ERR3307882	Ky21	PRJEB31061	Ky21_ERR3307882
ERR3307883	M162W	PRJEB31061	M162W_ERR3307883
ERR3307884	M37W	PRJEB31061	M37W_ERR3307884
ERR3307885	Mo18W	PRJEB31061	Mo18W_ERR3307885
ERR3307886	MS71	PRJEB31061	MS71_ERR3307886
ERR3307887	MS71	PRJEB31061	MS71_ERR3307887
ERR3307888	MS71	PRJEB31061	MS71_ERR3307888
ERR3307889	MS71	PRJEB31061	MS71_ERR3307889
ERR3307890	NC350	PRJEB31061	NC350_ERR3307890
ERR3307891	NC350	PRJEB31061	NC350_ERR3307891
ERR3307892	NC350	PRJEB31061	NC350_ERR3307892
ERR3307893	NC350	PRJEB31061	NC350_ERR3307893
ERR3307894	Oh43	PRJEB31061	Oh43_ERR3307894
ERR3307895	Oh43	PRJEB31061	Oh43_ERR3307895
ERR3307896	Oh43	PRJEB31061	Oh43_ERR3307896
ERR3307897	Oh43	PRJEB31061	Oh43_ERR3307897
ERR3307898	Oh7B	PRJEB31061	Oh7B_ERR3307898
ERR3307899	Oh7B	PRJEB31061	Oh7B_ERR3307899
ERR3307900	Oh7B	PRJEB31061	Oh7B_ERR3307900
ERR3307901	Oh7B	PRJEB31061	Oh7B_ERR3307901
ERR3307902	P39	PRJEB31061	P39_ERR3307902
ERR3307903	P39	PRJEB31061	P39_ERR3307903
ERR3307904	P39	PRJEB31061	P39_ERR3307904
ERR3307905	P39	PRJEB31061	P39_ERR3307905
ERR3307906	Tx303	PRJEB31061	Tx303_ERR3307906
ERR3307907	Tx303	PRJEB31061	Tx303_ERR3307907
ERR3307908	Tx303	PRJEB31061	Tx303_ERR3307908
ERR3307909	Tx303	PRJEB31061	Tx303_ERR3307909
SRR11301547	Dong46	PRJNA609577	Dong46_SRR11301547
SRR11301548	Dong46	PRJNA609577	Dong46_SRR11301548
SRR11301551	3IBZ2	PRJNA609577	3IBZ2_SRR11301551
SRR11301553	Lx9801	PRJNA609577	Lx9801_SRR11301553
SRR11301554	Lx9801	PRJNA609577	Lx9801_SRR11301554
SRR11301555	Lx9801	PRJNA609577	Lx9801_SRR11301555
SRR11301556	515	PRJNA609577	515_SRR11301556
SRR11301557	515	PRJNA609577	515_SRR11301557
SRR11301558	K12	PRJNA609577	K12_SRR11301558
SRR11301559	K12	PRJNA609577	K12_SRR11301559
SRR11301560	444	PRJNA609577	444_SRR11301560
SRR11301561	444	PRJNA609577	444_SRR11301561
SRR11301562	6F629	PRJNA609577	6F629_SRR11301562
SRR11301563	Jing7	PRJNA609577	Jing7_SRR11301563
SRR11301564	Jing7	PRJNA609577	Jing7_SRR11301564
SRR11301565	Ji853	PRJNA609577	Ji853_SRR11301565
SRR11301566	Ji853	PRJNA609577	Ji853_SRR11301566
SRR11301573	6F629	PRJNA609577	6F629_SRR11301573
SRR11301579	P138	PRJNA609577	P138_SRR11301579
SRR11301580	P138	PRJNA609577	P138_SRR11301580
SRR11301582	Shen137	PRJNA609577	Shen137_SRR11301582
SRR11301583	Shen137	PRJNA609577	Shen137_SRR11301583
SRR11301584	Qi319	PRJNA609577	Qi319_SRR11301584
SRR11301585	FBLA	PRJNA609577	FBLA_SRR11301585
SRR11301586	Qi319	PRJNA609577	Qi319_SRR11301586
SRR11301587	698_3	PRJNA609577	698_3_SRR11301587
SRR11301588	698_3	PRJNA609577	698_3_SRR11301588
SRR11301589	Longkang11	PRJNA609577	Longkang11_SRR11301589
SRR11301590	Longkang11	PRJNA609577	Longkang11_SRR11301590
SRR11301591	Huobai	PRJNA609577	Huobai_SRR11301591
SRR11301592	Huobai	PRJNA609577	Huobai_SRR11301592
SRR11301593	9058	PRJNA609577	9058_SRR11301593
SRR11301594	9058	PRJNA609577	9058_SRR11301594
SRR11301596	FBLA	PRJNA609577	FBLA_SRR11301596
SRR11301599	Huangyesi3	PRJNA609577	Huangyesi3_SRR11301599
SRR11301600	7884_7Ht	PRJNA609577	7884_7Ht_SRR11301600
SRR11301601	5005	PRJNA609577	5005_SRR11301601
SRR11301602	81162	PRJNA609577	81162_SRR11301602
SRR11301603	18_599	PRJNA609577	18_599_SRR11301603
SRR11301604	PHH93	PRJNA609577	PHH93_SRR11301604
SRR11301605	IBB14	PRJNA609577	IBB14_SRR11301605
SRR11301606	Aijin525	PRJNA609577	Aijin525_SRR11301606
